Site,Country,Climate,Year,SeasonRain_mm,SeasonET0_mm,SeasonMeanTemp_C,SeasonRain_ET0_ratio
Tunis,Tunisia,Mediterranean,2013,184.60999999999999,1025.1597793211513,23.728913043478265,0.1800792459125216
Tunis,Tunisia,Mediterranean,2014,141.30999999999997,1090.4488948472033,24.17304347826087,0.12958883324816495
Tunis,Tunisia,Mediterranean,2015,229.48,1092.6969618937733,24.691467391304347,0.2100124810471551
Tunis,Tunisia,Mediterranean,2016,177.06,1054.9515580350399,24.00179347826087,0.16783709038715786
Tunis,Tunisia,Mediterranean,2017,133.41,1156.261431527892,24.859565217391303,0.1153804808863261
Tunis,Tunisia,Mediterranean,2018,412.70000000000005,964.7562655772197,23.833478260869562,0.42777643921605324
Tunis,Tunisia,Mediterranean,2019,329.2,1035.986657039947,24.282282608695656,0.31776471034926296
Tunis,Tunisia,Mediterranean,2020,185.52,1067.0707036575336,24.098315217391306,0.1738591448196491
Tunis,Tunisia,Mediterranean,2021,156.57999999999998,1138.7043059866805,25.50521739130435,0.13750716421883058
Tunis,Tunisia,Mediterranean,2022,98.44,1204.8768633227287,26.55929347826087,0.08170129495932785
Tunis,Tunisia,Mediterranean,2023,181.60000000000002,1136.1067680444871,25.798641304347825,0.15984413182625193
Tunis,Tunisia,Mediterranean,2024,279.25,1120.3753899601272,25.5566847826087,0.2492468171850313
Tunis,Tunisia,Mediterranean,2025,278.33,1072.694258235641,25.094945652173916,0.2594681549408076
Niamey,Niger,Hot semi-arid,1981,477.61999999999995,0.0,29.317065217391306,
Niamey,Niger,Hot semi-arid,1982,471.82,0.0,29.40597826086957,
Niamey,Niger,Hot semi-arid,1983,488.81,0.0,29.777934782608693,
Niamey,Niger,Hot semi-arid,1984,356.62,1308.183154501326,30.339021739130434,0.27260708775595116
Niamey,Niger,Hot semi-arid,1985,448.09999999999997,1217.7196866766567,29.25961956521739,0.36798288218771713
Niamey,Niger,Hot semi-arid,1986,481.88,1205.3825718002258,29.709673913043478,0.3997734920626216
Niamey,Niger,Hot semi-arid,1987,342.04,1326.2697196208105,31.289565217391303,0.2578962596671449
Niamey,Niger,Hot semi-arid,1988,556.25,1200.5683615343685,29.64,0.4633222212261974
Niamey,Niger,Hot semi-arid,1989,539.57,1224.7696223206517,29.70467391304348,0.4405481571118993
Niamey,Niger,Hot semi-arid,1990,421.30000000000007,1287.9796730384614,30.506521739130434,0.32710143554215804
Niamey,Niger,Hot semi-arid,1991,492.84,1155.5727214126273,29.455380434782608,0.4264898183106372
Niamey,Niger,Hot semi-arid,1992,473.72,1241.205967842554,29.99326086956522,0.38166107179085934
Niamey,Niger,Hot semi-arid,1993,413.46,1290.5608152898149,30.903423913043476,0.3203723490606301
Niamey,Niger,Hot semi-arid,1994,552.25,1193.9660153872946,29.89092391304348,0.46253410305054876
Niamey,Niger,Hot semi-arid,1995,518.44,1214.6480289041533,30.14298913043478,0.4268232341081827
Niamey,Niger,Hot semi-arid,1996,506.01,1207.979371966912,29.88603260869565,0.41888960336804515
Niamey,Niger,Hot semi-arid,1997,455.07,1212.9635664366115,30.64413043478261,0.3751720270847736
Niamey,Niger,Hot semi-arid,1998,663.33,1193.4908601348998,30.16163043478261,0.5557897610753585
Niamey,Niger,Hot semi-arid,1999,639.65,1144.5920653630926,29.862065217391304,0.5588453907349841
Niamey,Niger,Hot semi-arid,2000,420.96000000000004,1253.160771053575,30.80282608695652,0.33591859059399426
Niamey,Niger,Hot semi-arid,2001,473.32000000000005,1271.4984903079103,30.267391304347825,0.3722536861883173
Niamey,Niger,Hot semi-arid,2002,436.39,1285.1148534559197,30.82576086956522,0.3395727617858153
Niamey,Niger,Hot semi-arid,2003,575.4200000000001,1138.9422108028327,29.584945652173914,0.5052231751024403
Niamey,Niger,Hot semi-arid,2004,404.14,1243.9306760720829,30.47108695652174,0.32488948763297565
Niamey,Niger,Hot semi-arid,2005,609.26,1135.852685041139,29.706195652173914,0.5363899808696877
Niamey,Niger,Hot semi-arid,2006,427.33,1208.1084634140034,30.71255434782609,0.3537182404901003
Niamey,Niger,Hot semi-arid,2007,553.9,1155.4597637870315,29.65358695652174,0.4793762771838864
Niamey,Niger,Hot semi-arid,2008,508.92,1171.9350567820438,29.868695652173916,0.43425614504392185
Niamey,Niger,Hot semi-arid,2009,514.25,1177.5645892764965,30.28711956521739,0.43670640632626245
Niamey,Niger,Hot semi-arid,2010,540.01,1128.9185166349662,29.822934782608694,0.47834276083063954
Niamey,Niger,Hot semi-arid,2011,411.03,1220.2796008011135,30.494673913043474,0.3368326404294219
Niamey,Niger,Hot semi-arid,2012,611.97,1106.4714707797689,29.190326086956524,0.55308249345889
