MinTemp,MaxTemp,Precipitation,ReferenceET,Date
24.53,28.76,1.71,,1982-05-28
24.81,27.82,4.82,,1982-05-29
24.64,28.01,8.04,,1982-05-30
24.39,26.52,87.56,,1982-05-31
24.28,27.44,23.19,,1982-06-01
23.84,27.88,24.53,,1982-06-02
23.61,27.63,14.43,,1982-06-03
23.61,27.46,3.12,,1982-06-04
23.77,28.26,2.68,,1982-06-05
24.21,28.16,2.88,,1982-06-06
24.41,28.57,3.75,,1982-06-07
24.49,28.51,2.93,,1982-06-08
24.7,28.62,3.39,,1982-06-09
24.92,27.91,25.06,,1982-06-10
24.18,27.4,34.2,,1982-06-11
24.02,27.87,14.67,,1982-06-12
23.93,27.27,16.59,,1982-06-13
23.9,27.59,17.0,,1982-06-14
23.49,27.93,9.24,,1982-06-15
23.62,27.89,5.08,,1982-06-16
23.73,27.66,14.47,,1982-06-17
23.68,27.54,40.82,,1982-06-18
23.83,27.44,9.17,,1982-06-19
24.29,27.59,2.86,,1982-06-20
23.94,27.38,2.35,,1982-06-21
24.16,28.34,6.04,,1982-06-22
24.4,26.83,10.15,,1982-06-23
24.35,27.47,8.61,,1982-06-24
23.93,28.02,3.38,,1982-06-25
23.71,27.21,7.3,,1982-06-26
23.66,27.22,17.49,,1982-06-27
23.52,25.85,5.86,,1982-06-28
23.21,26.1,5.38,,1982-06-29
23.21,26.59,9.82,,1982-06-30
23.56,27.27,9.01,,1982-07-01
23.08,26.96,9.52,,1982-07-02
22.89,26.29,10.66,,1982-07-03
22.58,26.75,10.1,,1982-07-04
22.77,24.41,5.09,,1982-07-05
22.52,25.89,5.92,,1982-07-06
22.28,26.63,5.4,,1982-07-07
21.84,27.64,1.37,,1982-07-08
22.57,27.39,2.01,,1982-07-09
22.92,26.81,0.23,,1982-07-10
23.05,26.68,4.28,,1982-07-11
22.66,25.88,6.43,,1982-07-12
22.59,27.16,4.3,,1982-07-13
22.66,26.08,1.85,,1982-07-14
22.57,27.31,1.16,,1982-07-15
22.88,26.79,0.99,,1982-07-16
