MinTemp,MaxTemp,Precipitation,ReferenceET,Date
12.43,29.91,0.0,,1982-01-08
11.77,29.68,0.0,,1982-01-09
11.66,29.73,0.0,,1982-01-10
11.82,31.09,0.0,,1982-01-11
14.96,33.12,0.0,,1982-01-12
17.86,35.59,0.0,,1982-01-13
20.71,35.74,0.0,,1982-01-14
20.31,36.39,0.0,,1982-01-15
18.8,35.14,0.0,,1982-01-16
18.33,35.25,0.0,,1982-01-17
19.2,35.25,0.0,,1982-01-18
19.14,35.66,0.0,,1982-01-19
18.36,32.81,0.0,,1982-01-20
16.59,26.77,0.0,,1982-01-21
16.28,24.81,0.49,,1982-01-22
13.44,28.86,3.91,,1982-01-23
12.24,27.83,0.24,,1982-01-24
11.16,28.56,0.0,,1982-01-25
12.47,30.43,0.0,,1982-01-26
15.04,30.63,0.0,,1982-01-27
13.8,30.9,0.0,,1982-01-28
12.98,31.4,0.0,,1982-01-29
13.68,31.95,0.0,,1982-01-30
13.95,31.06,0.0,,1982-01-31
13.53,31.55,0.0,,1982-02-01
13.78,33.5,0.0,,1982-02-02
15.91,35.33,0.0,,1982-02-03
17.63,35.85,0.0,,1982-02-04
16.35,34.48,0.0,,1982-02-05
15.74,32.75,0.0,,1982-02-06
14.7,30.03,0.0,,1982-02-07
13.42,28.97,0.0,,1982-02-08
13.33,29.89,0.0,,1982-02-09
13.53,31.06,0.0,,1982-02-10
16.35,32.2,0.0,,1982-02-11
16.06,34.38,0.0,,1982-02-12
17.48,35.25,0.0,,1982-02-13
17.8,36.44,0.0,,1982-02-14
18.91,36.26,0.0,,1982-02-15
19.01,36.3,0.21,,1982-02-16
24.5,32.33,0.28,,1982-02-17
22.74,32.88,0.46,,1982-02-18
24.28,35.61,1.13,,1982-02-19
23.58,35.5,0.02,,1982-02-20
22.66,33.74,0.0,,1982-02-21
21.12,34.11,0.0,,1982-02-22
22.15,34.93,0.0,,1982-02-23
21.09,33.69,0.0,,1982-02-24
21.23,36.27,0.05,,1982-02-25
20.08,35.59,0.0,,1982-02-26
19.0,35.46,0.0,,1982-02-27
17.36,35.7,0.0,,1982-02-28
17.67,35.6,0.0,,1982-03-01
17.5,34.45,0.0,,1982-03-02
17.59,32.57,0.0,,1982-03-03
16.4,32.1,0.0,,1982-03-04
15.18,33.49,0.0,,1982-03-05
15.82,34.79,0.0,,1982-03-06
17.29,36.1,0.0,,1982-03-07
18.5,37.03,0.0,,1982-03-08
19.7,37.91,0.0,,1982-03-09
21.33,39.02,0.32,,1982-03-10
23.4,35.83,0.38,,1982-03-11
24.74,36.14,0.91,,1982-03-12
25.36,36.61,0.0,,1982-03-13
24.69,39.49,0.0,,1982-03-14
23.68,39.45,0.0,,1982-03-15
22.89,39.75,0.0,,1982-03-16
23.55,39.92,0.07,,1982-03-17
25.0,37.03,0.25,,1982-03-18
27.07,36.55,0.0,,1982-03-19
26.41,38.12,0.0,,1982-03-20
23.82,32.43,0.0,,1982-03-21
23.12,30.45,0.0,,1982-03-22
22.94,36.72,0.0,,1982-03-23
23.35,37.83,0.0,,1982-03-24
22.39,39.05,0.0,,1982-03-25
22.69,40.7,0.02,,1982-03-26
25.28,41.12,0.0,,1982-03-27
27.43,40.88,0.06,,1982-03-28
28.13,38.6,0.07,,1982-03-29
25.55,39.94,0.0,,1982-03-30
24.1,39.99,0.0,,1982-03-31
23.85,40.38,0.0,,1982-04-01
22.41,40.73,0.0,,1982-04-02
23.68,40.81,0.0,,1982-04-03
22.2,41.52,0.0,,1982-04-04
22.53,41.2,0.0,,1982-04-05
25.69,39.11,0.0,,1982-04-06
26.94,39.12,0.0,,1982-04-07
25.89,41.25,0.0,,1982-04-08
23.16,40.72,0.0,,1982-04-09
24.79,40.11,0.0,,1982-04-10
25.56,39.52,0.01,,1982-04-11
24.94,41.04,0.0,,1982-04-12
25.04,39.54,0.4,,1982-04-13
