Date,T2M_MAX,T2M_MIN,T2M,T2MDEW,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS2M,PS,ReferenceET,Ra,EstimatedElevation_m
1981-04-20,42.52,30.15,35.78,14.32,0.06,,2.46,98.0,,38.178640902898636,258.1077831204352
1981-04-21,41.45,28.15,33.86,19.69,0.7,,4.21,97.87,,38.19840663028249,258.1077831204352
1981-04-22,36.8,28.01,31.75,21.11,1.48,,5.33,97.92,,38.216522526102764,258.1077831204352
1981-04-23,37.97,26.83,32.24,19.01,1.73,,3.31,97.97,,38.23302542764453,258.1077831204352
1981-04-24,39.35,26.91,32.66,17.43,0.0,,3.24,98.03,,38.247953443353545,258.1077831204352
1981-04-25,41.03,25.72,33.02,9.54,0.0,,3.35,98.02,,38.26134588368016,258.1077831204352
1981-04-26,42.13,26.38,33.51,12.99,0.0,,3.36,97.75,,38.273243190844205,258.1077831204352
1981-04-27,39.23,26.38,32.58,20.34,0.03,,4.77,97.71,,38.28368686764088,258.1077831204352
1981-04-28,36.78,27.37,32.1,20.09,0.02,,3.56,97.93,,38.292719405407375,258.1077831204352
1981-04-29,37.69,28.4,32.95,19.76,0.27,,2.19,98.08,,38.300384211269375,258.1077831204352
1981-04-30,38.02,28.25,33.03,19.41,0.07,,3.19,97.94,,38.306725534786466,258.1077831204352
1981-05-01,34.61,26.7,29.88,19.54,1.98,,4.34,98.0,,38.31178839411399,258.1077831204352
1981-05-02,35.96,26.14,29.93,18.55,1.93,,3.74,98.17,,38.31561850179809,258.1077831204352
1981-05-03,35.8,25.77,30.32,18.28,0.3,,1.48,98.22,,38.318262190319054,258.1077831204352
1981-05-04,38.23,26.91,32.24,17.88,0.0,,3.02,98.02,,38.31976633749679,258.1077831204352
1981-05-05,33.73,26.44,29.51,18.97,1.71,,4.24,98.15,,38.320178291869645,258.1077831204352
1981-05-06,33.38,24.86,28.85,19.71,0.22,,4.21,98.21,,38.31954579815684,258.1077831204352
1981-05-07,38.35,25.94,31.71,18.84,0.64,,3.5,98.0,,38.31791692291111,258.1077831204352
1981-05-08,38.5,26.38,32.33,20.45,0.42,,4.08,97.82,,38.31533998046716,258.1077831204352
1981-05-09,37.01,26.59,31.59,20.15,0.33,,4.01,97.83,,38.31186345928765,258.1077831204352
1981-05-10,37.14,26.98,31.8,19.43,0.08,,4.01,97.99,,38.30753594880643,258.1077831204352
1981-05-11,38.43,26.06,32.35,19.47,0.91,,3.1,98.12,,38.30240606686544,258.1077831204352
1981-05-12,40.33,27.28,33.81,18.42,0.05,,3.38,98.03,,38.29652238783883,258.1077831204352
1981-05-13,40.02,26.84,33.35,19.42,0.25,,4.38,97.89,,38.289933371534445,258.1077831204352
1981-05-14,35.9,26.8,31.44,20.19,0.12,,4.97,98.1,,38.28268729295979,258.1077831204352
1981-05-15,38.28,26.8,32.45,20.01,0.14,,3.99,98.18,,38.274832173036074,258.1077831204352
1981-05-16,39.21,28.02,33.36,19.63,0.89,,4.23,98.07,,38.26641571034043,258.1077831204352
1981-05-17,38.35,27.06,32.44,20.37,0.12,,4.42,98.04,,38.25748521395323,258.1077831204352
1981-05-18,35.7,27.73,31.68,20.93,0.51,,4.73,98.13,,38.24808753748342,258.1077831204352
1981-05-19,36.67,27.81,32.31,19.47,0.14,,3.82,98.27,,38.2382690143417,258.1077831204352
1981-05-20,41.11,27.43,34.37,16.89,0.17,,2.66,98.14,,38.228075394327455,258.1077831204352
1981-05-21,42.28,27.46,34.74,15.28,0.04,,3.1,98.02,,38.217551781591936,258.1077831204352
1981-05-22,39.34,27.82,33.38,19.79,0.03,,4.2,98.23,,38.20674257403664,258.1077831204352
1981-05-23,38.14,27.65,32.73,18.9,0.13,,3.42,98.31,,38.19569140420223,258.1077831204352
1981-05-24,38.6,27.87,32.94,19.42,0.19,,3.74,98.18,,38.1844410816999,258.1077831204352
